posting_id,job_title,skill_uri,preferred_label,matched_text,skill_type,reuse_level,broader_skill_labels
885501300,Program Analyst  (Data Analyst),http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378,data analytics,data analytics,knowledge,cross-sector skills and competences,
885501300,Program Analyst  (Data Analyst),http://data.europa.eu/esco/isced-f/011,education,education,,,
885501300,Program Analyst  (Data Analyst),http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,skills,skills,,,
885501300,Program Analyst  (Data Analyst),http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22,knowledge,knowledge,,,
885418100,Data Analyst,http://data.europa.eu/esco/skill/88b406d0-72e2-4087-be19-d5992d259473,personnel management,Personnel Management,knowledge,cross-sector skills and competences,
885418100,Data Analyst,http://data.europa.eu/esco/skill/949ced5f-7536-4614-ac60-563ffc91a2f2,strategic planning,strategic planning,knowledge,cross-sector skills and competences,
885418100,Data Analyst,http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,communicating,communicating,,,
885418100,Data Analyst,http://data.europa.eu/esco/isced-f/10,services,services,,,
885418100,Data Analyst,http://data.europa.eu/esco/isced-f/091,health,health,,,
885418100,Data Analyst,http://data.europa.eu/esco/isced-f/011,education,education,,,
885418100,Data Analyst,http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,skills,Skills,,,
883741500,Program Analyst (Data Analyst),http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378,data analytics,data analytics,knowledge,cross-sector skills and competences,
883741500,Program Analyst (Data Analyst),http://data.europa.eu/esco/skill/415f816c-07ae-4ac1-9ddb-ecaa9957a249,law enforcement,law enforcement,knowledge,cross-sector skills and competences,
883741500,Program Analyst (Data Analyst),http://data.europa.eu/esco/skill/88b406d0-72e2-4087-be19-d5992d259473,personnel management,Personnel Management,knowledge,cross-sector skills and competences,
883741500,Program Analyst (Data Analyst),http://data.europa.eu/esco/skill/a3aa300b-6636-40fc-abe7-4ab3808dd742,international law,international law,knowledge,cross-sector skills and competences,
883741500,Program Analyst (Data Analyst),http://data.europa.eu/esco/skill/4fb87cb4-6442-4b5d-8bd0-eb1aa743a9ee,application process,application process,knowledge,occupation specific skills and competences,
883741500,Program Analyst (Data Analyst),http://data.europa.eu/esco/isced-f/0421,law,law,,,
883741500,Program Analyst (Data Analyst),http://data.europa.eu/esco/isced-f/10,services,Services,,,
883741500,Program Analyst (Data Analyst),http://data.europa.eu/esco/isced-f/011,education,education,,,
883741500,Program Analyst (Data Analyst),http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,skills,skills,,,
883741500,Program Analyst (Data Analyst),http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22,knowledge,knowledge,,,
885259500,Program Analyst (Data Analytics),http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378,data analytics,Data Analytics,knowledge,cross-sector skills and competences,
885259500,Program Analyst (Data Analytics),http://data.europa.eu/esco/skill/415f816c-07ae-4ac1-9ddb-ecaa9957a249,law enforcement,law enforcement,knowledge,cross-sector skills and competences,
885259500,Program Analyst (Data Analytics),http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388,project management,project management,knowledge,sector specific skills and competences,
885259500,Program Analyst (Data Analytics),http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,business intelligence,business intelligence,knowledge,cross-sector skills and competences,
885259500,Program Analyst (Data Analytics),http://data.europa.eu/esco/skill/88b406d0-72e2-4087-be19-d5992d259473,personnel management,Personnel Management,knowledge,cross-sector skills and competences,
885259500,Program Analyst (Data Analytics),http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,communicating,communicating,,,
885259500,Program Analyst (Data Analytics),http://data.europa.eu/esco/isced-f/0421,law,law,,,
