skill_uri,preferred_label,alternative_labels,description,skill_type,reuse_level,broader_skill_uris,broader_skill_labels,status
http://data.europa.eu/esco/skill/29c954f2-ed17-4900-bba5-4cfd294f3680,interact verbally in Turkish,be fluent in Turkish | verbally interact in Turkish | speak Turkish | interacting verbally in Turkish | communicate verbally in Turkish,Communicate orally in Turkish.,skill,transversal skills and competences,http://data.europa.eu/esco/skill/aa66a033-8522-40e9-a5c0-ff2593e2669c,Turkish,released
http://data.europa.eu/esco/skill/ea4d26de-df11-464f-940f-d63f0f5848f1,interact verbally in Sardinian,interacting verbally in Sardinian | speak Sardu | speak Sardinian | speak Sard | verbally interact in Sardinian | be fluent in Sardinian | communicate verbally in Sardinian,Communicate orally in ​Sardinian.,skill,transversal skills and competences,http://data.europa.eu/esco/skill/1627c1b9-31e1-4742-bf5c-cfec2ce33cfc,Sardinian,released
http://data.europa.eu/esco/skill/b4a5d258-4fe7-4fa5-b58f-d2f8769eb15b,write Sardinian,correspond in written Sardinian | writing Sardinian | write Sardu | show competency in written Sardinian | write Sard,Compose written texts in ​Sardinian.,skill,transversal skills and competences,http://data.europa.eu/esco/skill/1627c1b9-31e1-4742-bf5c-cfec2ce33cfc,Sardinian,released
http://data.europa.eu/esco/skill/e396053a-7820-4c4d-9ba9-20d66753f50e,understand spoken Sardinian,interpret spoken Sardinian | understand Sardinian speech | comprehend spoken Sardinian | comprehend spoken Sard | understanding spoken Sardinian | make sense of spoken Sardinian | comprehend spoken Sardu | listen to Sardinian,Comprehend orally expressed ​Sardinian.,skill,transversal skills and competences,http://data.europa.eu/esco/skill/1627c1b9-31e1-4742-bf5c-cfec2ce33cfc,Sardinian,released
http://data.europa.eu/esco/skill/03a53283-d3ee-41c1-ab3e-eb806616440e,understand spoken Welsh,understanding spoken Welsh | understand Welsh speech | comprehend spoken Welsh | make sense of spoken Welsh | listen to Welsh | interpret spoken Welsh,Comprehend orally expressed ​Welsh.,skill,transversal skills and competences,http://data.europa.eu/esco/skill/8dbd15c6-ecf0-468c-8ae1-f6eb360743dd,Welsh,released
http://data.europa.eu/esco/skill/39a7d447-5a30-41b1-967d-bdcde3288c9e,write Slovak,writing Slovak | show competency in written Slovak | correspond in written Slovak,Compose written texts in Slovak.,skill,transversal skills and competences,http://data.europa.eu/esco/skill/246980fe-6222-4852-ade8-b372f7e0fd20,Slovak,released
http://data.europa.eu/esco/skill/e832f8d8-d627-4b0d-b1a5-b52f3917bb63,understand written Slovak,read Slovak | understanding written Slovak | comprehend written Slovak | understand Slovak writing | make sense of written Slovak | interpret written Slovak,Read and comprehend written texts in Slovak.,skill,transversal skills and competences,http://data.europa.eu/esco/skill/246980fe-6222-4852-ade8-b372f7e0fd20,Slovak,released
http://data.europa.eu/esco/skill/79444b07-be9c-4cf9-ac91-04e52b2ac1a0,understand spoken Slovak,listen to Slovak | understand Slovak speech | interpret spoken Slovak | comprehend spoken Slovak | understanding spoken Slovak | make sense of spoken Slovak,Comprehend orally expressed Slovak.,skill,transversal skills and competences,http://data.europa.eu/esco/skill/246980fe-6222-4852-ade8-b372f7e0fd20,Slovak,released
http://data.europa.eu/esco/skill/f61a0a31-5b6b-4129-b5c2-99e10a5d7794,understand written Welsh,read Welsh | interpret written Welsh | comprehend written Welsh | understanding written Welsh | make sense of written Welsh | understand Welsh writing,Read and comprehend written texts in Welsh.,skill,transversal skills and competences,http://data.europa.eu/esco/skill/8dbd15c6-ecf0-468c-8ae1-f6eb360743dd,Welsh,released
http://data.europa.eu/esco/skill/a28c2024-0fa6-43fd-a848-1a7ec7fe28b0,understand written Albanian,make sense of written Albanian | understand Albanian writing | read Albanian | interpret written Albanian | comprehend written Albanian | understanding written Albanian,Read and comprehend written texts in Albanian.,skill,transversal skills and competences,http://data.europa.eu/esco/skill/f1a08ec9-32d2-4e52-ba4a-66e049019be8,Albanian,released
http://data.europa.eu/esco/skill/185647bf-e101-4080-9a40-09173d7eefd0,interact verbally in Welsh,verbally interact in Welsh | interacting verbally in Welsh | be fluent in Welsh | speak Welsh | communicate verbally in Welsh,Communicate orally in Welsh.,skill,transversal skills and competences,http://data.europa.eu/esco/skill/8dbd15c6-ecf0-468c-8ae1-f6eb360743dd,Welsh,released
http://data.europa.eu/esco/skill/97ca0f19-c53f-4c38-b983-398345cba227,write Albanian,show competency in written Albanian | writing Albanian | correspond in written Albanian,Compose written texts in Albanian.,skill,transversal skills and competences,http://data.europa.eu/esco/skill/f1a08ec9-32d2-4e52-ba4a-66e049019be8,Albanian,released
http://data.europa.eu/esco/skill/9a42bdc6-8496-4874-b9f5-b48207a85282,interact verbally in Greek,speak Greek | interacting verbally in Greek | be fluent in Greek | verbally interact in Greek | communicate verbally in Greek,Communicate orally in Greek.,skill,transversal skills and competences,http://data.europa.eu/esco/skill/ea4ebfa1-e17a-4416-ac54-955f33e6ade7,Greek,released
http://data.europa.eu/esco/skill/aaf57e19-0d41-4361-8de9-bcd858e3f10d,write Catalan,write Valencian | show competency in written Catalan | correspond in written Catalan | writing Catalan,Compose written texts in ​Catalan.,skill,transversal skills and competences,http://data.europa.eu/esco/skill/8ee2b6f2-7017-4b9a-9de2-4dedf0711394,Catalan,released
http://data.europa.eu/esco/skill/6d4feb44-401c-480d-a05b-02ca8b38d7cd,write Malay,show competency in written Malay | correspond in written Malay | write Malaysian | writing Malay,Compose written texts in Malay.,skill,transversal skills and competences,http://data.europa.eu/esco/skill/1f90c205-f869-4dcf-a374-c4fdeded9cbc,Malay,released
http://data.europa.eu/esco/skill/2203ac44-f4a7-4d34-a55f-1af107415988,understand written Punjabi,understand Punjabi writing | read Panjabi | read Punjabi | make sense of written Punjabi | comprehend written Panjabi | understanding written Punjabi | understand written Panjabi | interpret written Punjabi | comprehend written Punjabi,Read and comprehend written texts in Punjabi.,skill,transversal skills and competences,http://data.europa.eu/esco/skill/e05b9e06-d298-4646-b762-acbd485a20e9,Punjabi,released
http://data.europa.eu/esco/skill/47d491a9-f7c0-4b13-a10f-983d3aa0113e,safety engineering,safety management | safety science | system safety engineering | process safety engineering,"The study of the risks associated with engineered designs and systems, accident prevention as well as the safety benefits of reducing deaths and injuries. The discipline focuses on analysing and mitigating potential hazards in engineering processes.",knowledge,cross-sector skills and competences,http://data.europa.eu/esco/skill/6f1edc19-191f-4ba5-a048-ee69aff05bab,security engineering,released
http://data.europa.eu/esco/skill/dfb76ee8-1e49-4371-b0ef-ea132d93aaca,metal bending techniques,shaping of sheet metal | methods used to shape sheet metal | sheet metal bending techniques | techniques used to bend sheet metal | metal bending techniques | sheet metal shaping | approaches used to bend sheet metal | sheet metal bending methods | metal bending approaches | metal bending methods | sheet metal bending approaches,"The different techniques for the bending of metal sheets and their link with activities such as assembly, design, and maintenance.",knowledge,cross-sector skills and competences,,,released
http://data.europa.eu/esco/skill/fcffe2a5-6253-4848-92e7-749304aca647,develop innovative mobility solutions,develop mobility on demand services | develop mobility applications | develop bike sharing services | foster sustainable mobility | determine innovative mobility services | determine innovative mobility concepts,Work on innovative ideas to develop transport solutions based on the integration of digital technologies and data management and promoting the shift from personally-owned transport to on-demand and shared mobility services. ,skill,cross-sector skills and competences,,,released
http://data.europa.eu/esco/skill/c5c92f10-74d8-4178-a051-cce194fdc72b,textile trends,textile drifts | trends in textiles | textile directions | textile leanings | textile trend | textile movements | textiles trends,Latest developments in textile fabrics and textile methods.,knowledge,cross-sector skills and competences,,,released
http://data.europa.eu/esco/skill/dbe6fdf0-d776-4dd2-95b6-d7a9dd799603,textile techniques,textile arts | textile techniques | textile processing techniques | textile technique | techniques of textiles,The various steps and methods of the manufacturing process of textile. The techniques applied to the finishing of textile products based on the type of textile used.,knowledge,sector specific skills and competences,,,released
http://data.europa.eu/esco/skill/3a116ee0-19d4-49e9-a8f0-f2cd4f51c463,transmission towers,towers for electricity transmission | electricity transmission towers | high voltage DC transmission towers | electricity pylons | high voltage AC transmission towers | power tower | pylons,"Types of tall structures which are used in the transmission and distribution of electrical energy, and which support overhead power lines, such as high voltage AC and high voltage DC transmission towers. The different types of tower designs and materials used for its construction, and the types of currents.",knowledge,cross-sector skills and competences,,,released
http://data.europa.eu/esco/skill/c3bb5700-a94d-407a-8cd0-147727378f25,urban pollution implications,nature of urban pollution implications | science of urban pollution implications | nature of impacts of urban pollution | range of urban pollution implications | science of impacts of urban pollution | impacts of urban pollution | range of impacts of urban pollution | implications of urban pollution,"Collection of pollutants created by cities and its effects on air, water and ground the entire environment. 
 
 
 ",knowledge,sector specific skills and competences,,,released
http://data.europa.eu/esco/skill/b6c39ec1-7da2-46dc-9cec-2f7204066cf3,understand spoken Irish,make sense of spoken Irish | understanding spoken Irish | listen to Irish | comprehend spoken Gaelic | comprehend spoken Irish | comprehend spoken Irish Gaelic | understand Irish speech | interpret spoken Irish,Comprehend orally expressed Irish.,skill,transversal skills and competences,http://data.europa.eu/esco/skill/8f4c0fe6-10c7-409e-92d6-245f46728209,Irish,released
http://data.europa.eu/esco/skill/0e5affa0-705e-4b19-94e8-19e902e0287d,analyse decentralised applications,analyse dApps,"Analyse decentralized applications for their specific performance requirements in terms of key functions and properties such as identify management, access control, data security, transparency, performance, scalability, and maintainability.",skill,cross-sector skills and competences,,,released
http://data.europa.eu/esco/skill/d3d9b3ab-9dc8-415b-b450-f3ecfbef684a,rivet types,tack and staple brands | rivet categories | tack and staple categories | tack and staple varieties | rivet varieties | rivet formats | tack and staple formats | rivet brands,"The various types of rivets used in manufacturing, such as solid head rivets, blind rivets, drive rivets, semi-tubular rivets, oscar rivets, flush rivets, and others.",knowledge,cross-sector skills and competences,,,released
